ALERT_ID,TRANSACTION_ID,PARTY_ID,ALERT_TYPE,TRIGGERED_AT,RESOLUTION_STATUS,RESOLVED_BY
c657878d-3133-48f0-b513-869f4db4e07a,df6a8572-8b5b-47e1-ae0f-8e43b6d73c2c,23abef56-82b3-4f3a-b913-60cf7af96845,High-Value Transaction,2026-04-08 13:22:00.577845,Resolved,EMP3010
e2769cbb-706b-4aca-adfc-700600ae9830,291fde79-17a5-4298-8420-6ea8a410f914,63010b2a-3b7c-4928-a5e6-ab1c99ef311c,Unusual Location,2026-04-08 13:22:00.762204,Open,
6aa3e4cb-8d4d-4cf1-b322-68c0428dfdfa,21348f59-3721-4b57-9034-f56fdc098847,d01e7745-e91b-490f-9cf1-144d8679cf59,Multiple Failed Logins,2026-04-08 13:22:00.408693,Open,
b2a3163f-7a90-44de-a468-e581db51f3f8,015893e2-82ea-4aa2-849e-e03e41972f12,c7076039-aa43-4054-96c0-80475619a365,Suspicious IP,2026-04-08 13:22:00.283694,Escalated,EMP3015
d276dada-68de-45a0-a9cf-b26bd40ba6fa,80bfccf6-7774-4b27-a01a-816c189fb8a2,7b44ef56-2d5d-473a-9ccb-1a96675f3d06,Suspicious IP,2026-04-08 13:22:00.598989,Open,
ce948efd-3b72-441d-9f76-3fc7081dc0ad,561d7270-ceab-42d4-990b-2ecec06e012b,bee06897-226c-4252-be4d-6475045790ff,Suspicious IP,2026-04-08 13:22:00.299011,Resolved,EMP3045
9d940797-5538-4a3b-80a2-f6c26d2463bc,7f5bef0a-16d7-43da-8392-5b038eaf2a70,0edb70c2-d314-4886-a99c-ab132588abb7,High-Value Transaction,2026-04-08 13:22:00.727169,Resolved,EMP3028
d8c14188-1dce-484f-8f73-92c9539277a7,cacd1f88-ba72-426f-ad7b-61c48ae22b0f,86353594-07a2-4c7c-b987-5a76102fa34f,Unusual Location,2026-04-08 13:22:00.154939,Resolved,EMP3023
5366c723-ac09-40fb-b03f-d1c5ce0efe96,77305211-0d9e-47a0-bc77-b0a25a9664b8,0e278ce7-fc78-4271-aa8f-89e6f5693b35,High-Value Transaction,2026-04-08 13:22:00.638186,Resolved,EMP3027
a924fbc6-389f-4ac0-a129-4f6fc32973fd,af6e9f93-31cb-45c9-8b5d-50a01e8abfe3,041fdd97-2b19-4d53-8d54-45b4e57bfdb5,Suspicious IP,2026-04-08 13:22:00.235015,Open,
85b956ae-1d71-43fc-a4b7-872de8d0d278,e260d867-a6d1-4cc6-b082-433e1d2bd4cc,08f15b88-8014-400e-b8e3-b40293244d9d,Multiple Failed Logins,2026-04-08 13:22:00.116661,Open,
0ca50dea-9498-4c74-84c5-48ec4f64ce08,5ddf8718-66d1-45ef-b1e0-16a94509c287,f15c3f40-1c9c-45d2-9192-cb0b4e157857,Unusual Location,2026-04-08 13:22:00.393638,Resolved,EMP3032
184bc5e6-5528-4dd0-804d-190b0e9b36a1,95379fd0-3879-4e51-9951-aa87f8dfc42f,d16dc016-76f3-41f5-b752-fa854a11374a,Unusual Location,2026-04-08 13:22:00.168047,Open,
