LOAN_ID,CUSTOMER_ID,ACCOUNT_ID,LOAN_TYPE,PRINCIPAL_AMOUNT,OUTSTANDING_AMOUNT,INTEREST_RATE,TERM_MONTHS,START_DATE,MATURITY_DATE,STATUS,COLLATERAL_TYPE,CREDIT_SCORE,CREATED_AT,UPDATED_AT
18003877,3817554089,,SME,42548.56,8396.18,0.039,48,2024-05-22,2028-05-01,ACTIVE,break,489,2020-01-16 22:36:00,
1127562520,2509006198,,AUTO,31759.04,22718.26,0.025,54,2021-01-14,2025-06-22,ACTIVE,before,486,2020-04-22 19:28:36,
3204057369,8817702085,,PERSONAL,8334.51,4414.74,0.12,34,2021-12-15,2024-09-30,PAID,make,771,2022-01-06 14:13:52,2023-05-07 15:49:50
6775029851,4809955377,350292639,SME,21344.93,2181.17,0.15,24,2025-11-08,2027-10-29,ACTIVE,great,365,2023-02-16 09:51:58,
8542309272,1889243915,7768309058,HOME,42496.91,19647.4,0.065,44,2025-11-05,2029-06-17,PAID,us,374,2021-12-12 08:03:50,
3771598175,7517737031,,HOME,20706.61,1859.51,0.033,35,2021-09-03,2024-07-19,ACTIVE,cut,401,2022-06-05 15:06:57,2020-10-28 06:26:02
3014352335,8691517904,,PERSONAL,41828.19,12460.73,0.015,30,2020-06-25,2022-12-12,ACTIVE,side,678,2026-03-15 16:54:52,2023-06-27 13:08:47
7390629559,7379120915,7803246661,PERSONAL,34126.49,18757.79,0.09,27,2024-04-13,2026-07-02,PAID,force,671,2021-03-03 00:46:26,
2420787241,5122367408,,SME,7237.78,4904.25,0.09,36,2022-09-21,2025-09-05,PAID,store,782,2025-12-30 15:18:37,2020-03-31 08:19:51
8808688079,1150990948,,SME,7369.76,4894.52,0.096,11,2023-04-06,2024-03-01,ACTIVE,happy,301,2020-12-06 08:49:57,
7626825967,1630088385,9838553390,SME,31179.68,5933.74,0.02,9,2026-02-09,2026-11-06,PAID,most,601,2021-12-17 12:25:40,
4225604547,1285237924,,PERSONAL,40319.8,24621.11,0.14,27,2024-07-29,2026-10-17,DEFAULT,member,424,2023-05-14 19:58:36,2023-01-05 09:34:17
809564723,3987838745,4397488661,SME,39559.8,32922.21,0.121,51,2026-03-21,2030-05-29,PAID,coach,485,2024-07-17 03:58:10,2022-06-20 20:35:54
