PAYMENT_ID,LOAN_ID,ACCOUNT_ID,PAYMENT_TS,DUE_DATE,PAID_DATE,PAYMENT_AMOUNT,PRINCIPAL_COMPONENT,INTEREST_COMPONENT,PENALTY_COMPONENT,PAYMENT_METHOD,PAYMENT_STATUS,RECEIPT_NUMBER,CREATED_AT
9994300031,5238262768,2896435851,2023-05-11 10:09:09,2023-06-05 10:09:09,2023-05-11 10:09:09,296.03000000000003,187.72,18.58,89.73,CREDIT_CARD,PAID,3664362a-0310-4d23-aaf7-d6c403a76b7e,2022-08-08 14:27:42
5705159985,2668600131,2892919080,2024-12-31 12:07:40,2025-01-10 12:07:40,,17312.94,16592.72,647.12,73.1,DEBIT_CARD,LATE,96544e89-c3a3-4058-88a1-d528ba3d9c69,2022-10-07 16:43:00
7148799569,6677598326,734144652,2026-01-16 02:03:32,2026-01-17 02:03:32,,5826.469999999999,4998.74,729.82,97.91,DEBIT_CARD,PENDING,dcebe03b-51a6-4a27-9e8d-da247b64d634,2023-04-30 21:20:25
5424595871,7913169867,6142886642,2021-02-19 02:19:29,2021-03-02 02:19:29,,11120.460000000001,10237.68,839.49,43.29,DEBIT_CARD,LATE,24ac22fb-0364-4f78-8c61-ded6ffaee6a2,2025-10-26 19:23:40
6924583164,1871823046,2884369244,2025-12-20 18:57:46,2026-01-09 18:57:46,,9186.7,8104.22,988.71,93.77,CREDIT_CARD,FAILED,d04b10fc-7ab3-4c8c-b36c-7bac02fc7909,2022-01-02 01:42:08
9761293716,7642966507,8204809452,2024-01-31 07:43:17,2024-02-21 07:43:17,2024-01-31 07:43:17,15452.420000000002,13666.26,1694.62,91.54,BANK_TRANSFER,PAID,1ee83289-569c-40c0-aa75-df8b8b31aec6,2026-02-24 04:29:35
5264961,7360647578,7694955705,2025-10-06 10:31:17,2025-10-20 10:31:17,2025-10-06 10:31:17,2057.3799999999997,1847.37,157.03,52.98,DEBIT_CARD,PAID,1426d36e-c713-41fd-8c7e-86d1fc81bfd5,2025-05-13 10:19:31
4224043026,1740859238,252749875,2021-01-20 21:45:08,2021-01-21 21:45:08,,2454.63,2363.83,40.19,50.61,CREDIT_CARD,LATE,9c08f112-1dc2-4228-985d-570a891cc8b7,2025-08-19 23:52:56
5088277730,826004931,37071546,2026-01-05 19:40:35,2026-01-28 19:40:35,,2800.14,2479.62,314.91,5.61,BANK_TRANSFER,FAILED,d18e6fd5-f058-47d9-8609-8f03eb16b388,2021-06-28 17:29:30
26821699,4109142762,654693007,2022-10-19 00:53:41,2022-10-21 00:53:41,,183.37,79.87,4.95,98.55,BANK_TRANSFER,FAILED,b8e97817-65d1-4340-8a82-a575848a946c,2025-10-10 22:08:36
1293019854,9783553008,2147478463,2025-05-11 00:45:52,2025-06-02 00:45:52,,3656.56,3514.71,45.69,96.16,BANK_TRANSFER,FAILED,46f447da-ca98-4ce8-b1bb-91953bc7fe8c,2024-07-04 23:38:06
5922942578,891005997,5639655305,2024-10-13 21:33:34,2024-11-05 21:33:34,,19174.030000000002,18442.15,700.8,31.08,BANK_TRANSFER,PENDING,202122fc-a00f-499c-89cd-b7738ea6060a,2020-03-02 00:52:33
7163875270,4041378205,94057038,2026-01-18 05:43:52,2026-01-29 05:43:52,2026-01-18 05:43:52,16179.949999999999,14089.23,2071.12,19.6,CREDIT_CARD,PAID,efbd5385-68a9-4244-8674-390e70636da8,2026-02-11 10:36:12
5684261699,2605470691,6015916713,2026-02-19 07:03:55,2026-03-15 07:03:55,,15770.259999999998,13954.48,1716.4,99.38,BANK_TRANSFER,LATE,f5515929-b55f-4951-b7c7-c7c4336a8a83,2020-04-17 17:15:51
1989061388,253562567,5773784178,2022-06-13 07:21:04,2022-06-17 07:21:04,,16423.69,14437.66,1934.65,51.38,CREDIT_CARD,LATE,42c8a122-9f6c-4fc2-9789-5f0a74b9c977,2025-07-21 00:11:42
3468748230,4982907164,8555420428,2023-10-19 17:18:05,2023-10-31 17:18:05,,21048.539999999997,18994.05,1956.39,98.1,CREDIT_CARD,PENDING,b7afc2c7-6d3c-4bbd-be56-f1f5b9efbb12,2024-02-07 07:41:14
2979616878,1549223738,3311552854,2022-01-04 06:29:03,2022-01-20 06:29:03,,16485.07,15408.81,1016.98,59.28,BANK_TRANSFER,PENDING,86f6f50e-83e9-45fa-a783-717824d77759,2020-09-25 09:04:05
5130216374,9427433171,659640085,2021-11-14 21:42:27,2021-12-07 21:42:27,,151.25,96.56,14.19,40.5,BANK_TRANSFER,LATE,e20d5fbd-d3ff-40dc-97ff-2a2d5caba6b2,2021-11-06 09:51:42
9425189973,2668600131,5920916210,2024-04-18 19:28:02,2024-04-27 19:28:02,,8061.64,7730.63,301.49,29.52,BANK_TRANSFER,PENDING,090288c0-b8ae-44c9-bf0b-053278309226,2021-11-19 09:54:00
6395582953,6876731947,9702820506,2021-08-06 18:57:58,2021-08-20 18:57:58,,2824.4900000000002,2661.01,95.8,67.68,CREDIT_CARD,PENDING,e3f6436f-ab3d-4ded-98b4-df3152c620f0,2020-08-08 22:20:53
7416643257,645398651,7492754809,2025-10-23 06:44:59,2025-11-08 06:44:59,,23385.82,22040.2,1322.41,23.21,BANK_TRANSFER,LATE,47800f31-2a0c-45e9-b4e7-dbe8aa020d57,2020-10-03 07:09:18
246506199,2332759698,4496244152,2020-05-13 02:35:26,2020-05-31 02:35:26,,10153.1,9358.1,786.08,8.92,CREDIT_CARD,FAILED,0a534e99-ba91-4bba-88ca-67203d5ae9bc,2020-05-14 01:04:18
1470156990,3161782199,7762343265,2023-10-06 02:18:49,2023-11-02 02:18:49,,39075.149999999994,34061.21,4938.88,75.06,BANK_TRANSFER,LATE,101e1bfe-901c-4f90-9ec9-997387c59bdb,2021-06-15 08:51:13
6763340745,7503858937,999711976,2024-12-31 22:57:28,2025-01-14 22:57:28,,2881.21,2794.68,61.48,25.05,BANK_TRANSFER,FAILED,7e66bdcf-8baa-4039-902f-1afa04cc861d,2024-07-31 16:40:07
7862415003,7961525807,8568524306,2021-01-01 13:40:46,2021-01-24 13:40:46,,918.59,806.62,24.2,87.77,CREDIT_CARD,FAILED,12fda63d-dbe0-47b7-8674-091f799180a0,2023-04-29 12:12:26
7525765721,6127594475,5312156284,2022-11-03 21:08:57,2022-11-15 21:08:57,,2369.56,2161.73,118.9,88.93,BANK_TRANSFER,LATE,47d249d6-ce32-45a8-803b-4128cbdbf1f2,2024-12-30 00:58:01
8550692221,4278542726,7904158091,2021-03-04 23:45:05,2021-03-31 23:45:05,,9818.65,9219.97,534.76,63.92,CREDIT_CARD,FAILED,da143b5f-d9f2-49ce-ba1d-99d1ff08df95,2026-02-07 18:09:05
9124119419,8241632446,4312982472,2024-05-12 17:00:37,2024-06-11 17:00:37,,16165.869999999999,15675.22,423.23,67.42,CREDIT_CARD,FAILED,1833d64f-3021-4348-9aad-0eeeca4174af,2021-01-08 09:53:59
3413637817,9752140845,2692770973,2023-07-14 15:59:15,2023-07-30 15:59:15,2023-07-14 15:59:15,7350.540000000001,6960.77,368.92,20.85,BANK_TRANSFER,PAID,4bfbd82f-c9cc-498e-8c36-dc035ef21ec7,2020-03-24 23:54:29
7074056104,2285939053,367004550,2021-07-02 02:19:39,2021-07-04 02:19:39,,27964.100000000002,27408.75,520.77,34.58,BANK_TRANSFER,LATE,c3d70f70-8fdd-4b58-8d33-648e574139d2,2022-03-05 08:52:15
1553300610,2320924395,6981389247,2025-05-11 15:42:05,2025-06-09 15:42:05,2025-05-11 15:42:05,19100.41,17802.69,1263.99,33.73,BANK_TRANSFER,PAID,21afa46f-c072-4046-93d9-3c2c807c14bb,2025-01-27 18:57:08
