OBJECT_ID,POLICY_ID,OBJECT_TYPE,DESCRIPTION,YEAR_MADE,SERIAL_NO,ADDRESS_LINE1,ADDRESS_LINE2,CITY,STATE,POSTAL_CODE,COUNTRY,SUM_INSURED,CREATED_AT
70caf9dd-09f6-41b7-83fe-e6bc83a914a7,64da26e9-08de-42de-9c47-8d539bd578d0,PROPERTY,Site play sometimes theory almost health.,,cb0644175,75495 Carol Villages,Apt. 729,Kathleenstad,North Carolina,98220,Sudan,1227858.81,2016-11-17 19:21:23
ca75893c-67bb-4df9-ab0f-63c5cf2ed0a0,2476361e-774b-49e4-8438-7fa6ee4760db,PROPERTY,Break born both stay.,,Ir3646311,23017 Gabriel Course Apt. 000,Suite 044,Lake Davidbury,Arkansas,12321,Norway,1342696.02,2017-10-10 08:24:27
45ec00b9-3b72-480d-b797-79fdaf502824,7dd61f18-8a0a-4f7d-b839-c8b6d6759add,VEHICLE,Cup off present win anyone hit prevent.,1990,BD7075461,,,,,,,1787815.39,2023-12-04 23:06:05
17deffc7-f6b5-4aec-b06c-5a4381c16110,0965624b-dfed-42ef-910e-06ab9e66adb2,VEHICLE,Always build section possible garden night.,2023,AQ3186024,8958 Morales Parks Apt. 673,Apt. 021,Michaelfort,Arkansas,56408,Malawi,186825.21,2026-01-21 11:30:55
2b0443d7-7077-4fa7-b03d-07334273edc8,24466a1c-4c1c-44cc-a89d-a80d3166a147,EQUIPMENT,Issue travel throw create nearly wall.,1986,,,,,,,,822017.41,2021-11-28 10:41:32
214ee0dc-2796-4e61-90d9-761879c72202,019dee1f-881e-4760-866d-e48065c3ecda,VEHICLE,Other office small administration data anyone color pass style industry.,2012,uF7994138,,,,,,,501567.06,2025-12-07 14:16:46
cdd3a259-5f85-4b36-8730-5dce46cd90bc,c3b5e36d-c20b-4260-ac5e-47a7c09d4c95,VEHICLE,Tend rest when vote.,2012,Uk7109163,,,,,,,1547500.38,2019-07-17 01:57:43
4529a5bc-f00a-41d0-9565-123bf4d669af,334813e4-4248-4085-b10b-715cca79c758,PROPERTY,Natural cold too raise purpose.,,cy5277084,675 Brian Skyway Apt. 703,Apt. 659,Browningport,Ohio,62165,New Zealand,621995.83,2026-01-18 22:08:21
70f3327c-4c8e-4fd5-bafc-18976aabe4d6,5e79b052-45ee-4087-bf37-1318400f0422,VEHICLE,Way research north box degree political indeed drug baby.,2001,Ei7390880,,,,,,,215611.17,2023-10-10 06:45:18
eff8746e-8174-4d90-858c-d52f156e4d4e,3250bf23-12db-472a-a428-e2b778670719,PROPERTY,Detail site modern attention.,,AN7093918,4584 Welch Oval Suite 123,Apt. 324,Stevensfurt,North Carolina,92956,Papua New Guinea,1341312.25,2020-12-22 15:20:36
2354ff8e-6ceb-4ec0-b796-19eb330dd81d,7af85cda-f8f0-4727-9821-a91e1b2444f7,VEHICLE,They black section.,2000,bv9595554,,,,,,,274442.45,2021-01-21 13:05:38
5cce3d54-6bcf-4793-92c9-0062e255570b,787d4884-f91e-4241-a483-bd1af7c62278,VEHICLE,Day feel out his part.,2000,OB5778205,67406 Johnson Drive,Suite 127,Anthonyshire,Mississippi,07368,Martinique,1276605.02,2020-12-06 19:36:24
e77b5577-36f4-41d9-93da-ee27b767df7d,263edea2-ec1a-4283-9ba8-f81870a3224f,VEHICLE,Finally break per already report.,2006,ts8320531,,,,,,,1579986.66,2024-03-12 09:47:42
3e4a4771-694f-4330-909d-29795ef40283,81e2b011-e21c-4331-9bb5-a92371d0a124,VEHICLE,Participant official force save join.,2016,MB2753871,,,,,,,58501.2,2026-03-21 22:11:40
19a99939-0878-4a98-93e6-6a53464c580b,c74252f1-05c3-4bbd-a61d-736b83cce235,PERSON,Commercial study response.,,,,,,,,,599374.59,2024-07-11 13:41:31
fbcbe132-4ca3-4ce2-b4dc-01170689d733,296f8ed1-0c51-4724-98d5-280d78abcdb0,VEHICLE,Civil indeed lot natural marriage paper pattern field.,1988,nW3148410,,,,,,,1599525.02,2018-02-04 10:16:32
98056aa7-cf7b-42a7-af0e-27a10af29ffc,a7950a2f-b803-4458-a490-9f051ec1efaa,PROPERTY,Play anything throughout safe why relate card.,,fu4999994,835 David Lodge,Suite 815,North Wesley,Texas,56894,Gabon,971238.76,2017-02-22 02:23:55
bdf9f978-0811-4461-8172-b2b22d077017,505fda90-a907-4f8c-a516-6402f9e7b49d,VEHICLE,Almost account majority save political nice.,2023,UC6496704,,,,,,,301588.53,2018-09-30 00:34:44
404d271a-d3c2-4547-959b-1111521055b5,11df233b-2079-46d7-988d-9eb658a94b8a,PROPERTY,Health action black think mention today type others stuff whom ask.,,gC4379198,682 Oliver Vista Apt. 421,Suite 833,New Carolchester,New Hampshire,93650,Turks and Caicos Islands,1028665.45,2024-12-04 19:53:06
fbb749e1-b3ca-48d8-b5ef-25d562bf0f98,028beb15-4b63-4c6a-9eda-ec14ec6ac589,VEHICLE,Action similar group pretty somebody wonder.,2019,Su6704238,,,,,,,1852920.97,2021-01-09 03:18:22
0e499323-0f23-4c14-b1be-b70ea20660cd,590b0920-ed18-4977-93ae-a551a97a7200,PROPERTY,First source try probably blood single.,,yx9299782,551 Webb Station,Suite 286,Lake Ryanfurt,Nevada,91594,Pakistan,892300.28,2025-08-31 19:49:24
b70161c3-ca9d-456a-a1cf-27707c84f2d2,346c8e41-d02f-4448-9cac-b1164c328118,VEHICLE,Course financial hotel share so per concern show second return indeed never organization.,2014,ZK9552293,,,,,,,545269.52,2017-10-05 09:58:00
